Team ;Home;GoalsScored;GoalsConceded ;Season
Granada;1;2;1;2015/2016
La Coruna;1;1;2;2015/2016
Valencia;1;2;2;2015/2016
Vallecano;1;2;2;2015/2016
Sp Gijon;1;1;2;2015/2016
Barcelona;1;4;0;2015/2016
Getafe;1;1;0;2015/2016
Levante;1;2;1;2015/2016
Real Madrid;1;5;0;2015/2016
Sevilla;1;2;0;2015/2016
Celta;1;0;2;2015/2016
Eibar;1;2;1;2015/2016
Las Palmas;1;1;1;2015/2016
Sociedad;1;2;0;2015/2016
Villarreal;1;2;0;2015/2016
Celta;1;4;3;2015/2016
Sevilla;1;2;1;2015/2016
Sociedad;1;1;1;2015/2016
Villarreal;1;0;0;2015/2016
Barcelona;1;6;0;2015/2016
Getafe;1;3;1;2015/2016
Las Palmas;1;0;3;2015/2016
Real Madrid;1;5;1;2015/2016
Valencia;1;2;2;2015/2016
Eibar;1;5;1;2015/2016
Sp Gijon;1;5;1;2015/2016
Espanol;1;2;2;2015/2016
Granada;1;3;2;2015/2016
Malaga;1;1;2;2015/2016
Vallecano;1;3;0;2015/2016
Ath Bilbao;1;5;2;2015/2016
Ath Madrid;1;0;0;2015/2016
Betis;1;1;1;2015/2016
La Coruna;1;1;1;2015/2016
Levante;1;3;2;2015/2016
Barcelona;1;2;1;2015/2016
Eibar;1;1;2;2015/2016
Getafe;1;0;1;2015/2016
Sociedad;1;2;1;2015/2016
Villarreal;1;1;0;2015/2016
Las Palmas;1;2;1;2015/2016
Real Madrid;1;6;0;2015/2016
Sevilla;1;3;1;2015/2016
Valencia;1;0;1;2015/2016
La Coruna;1;2;2;2015/2016
Malaga;1;3;0;2015/2016
Ath Bilbao;1;0;0;2015/2016
Ath Madrid;1;3;1;2015/2016
Sp Gijon;1;1;1;2015/2016
Vallecano;1;2;0;2015/2016
Betis;1;1;0;2015/2016
Celta;1;1;1;2015/2016
Granada;1;1;2;2015/2016
Levante;1;0;2;2015/2016
Espanol;1;0;5;2015/2016
Sp Gijon;1;2;2;2015/2016
La Coruna;1;2;2;2015/2016
Real Madrid;1;4;2;2015/2016
Valencia;1;2;1;2015/2016
Villarreal;1;1;0;2015/2016
Barcelona;1;6;1;2015/2016
Eibar;1;2;0;2015/2016
Getafe;1;0;1;2015/2016
Sevilla;1;2;0;2015/2016
Sociedad;1;3;0;2015/2016
Sp Gijon;1;1;3;2015/2016
Levante;1;3;0;2015/2016
Betis;1;1;1;2015/2016
Celta;1;3;2;2015/2016
Espanol;1;1;0;2015/2016
Las Palmas;1;1;2;2015/2016
Ath Bilbao;1;0;1;2015/2016
Ath Madrid;1;0;0;2015/2016
Granada;1;1;2;2015/2016
Malaga;1;1;1;2015/2016
Vallecano;1;2;2;2015/2016
Eibar;1;0;1;2015/2016
Betis;1;2;2;2015/2016
Getafe;1;0;1;2015/2016
Real Madrid;1;0;1;2015/2016
Sociedad;1;1;1;2015/2016
Sp Gijon;1;2;4;2015/2016
Barcelona;1;2;1;2015/2016
La Coruna;1;0;1;2015/2016
Valencia;1;0;3;2015/2016
Villarreal;1;3;0;2015/2016
Ath Madrid;1;3;0;2015/2016
Las Palmas;1;4;0;2015/2016
Ath Bilbao;1;4;1;2015/2016
Celta;1;0;0;2015/2016
Levante;1;1;3;2015/2016
Malaga;1;1;2;2015/2016
Sevilla;1;1;0;2015/2016
Espanol;1;0;3;2015/2016
Granada;1;2;0;2015/2016
Vallecano;1;1;5;2015/2016
Getafe;1;1;1;2015/2016
La Coruna;1;3;3;2015/2016
Real Madrid;1;7;1;2015/2016
Villarreal;1;0;1;2015/2016
Betis;1;2;0;2015/2016
Eibar;1;0;4;2015/2016
Sociedad;1;1;1;2015/2016
Sp Gijon;1;0;2;2015/2016
Valencia;1;1;3;2015/2016
Espanol;1;2;1;2015/2016
Malaga;1;1;0;2015/2016
Ath Madrid;1;3;0;2015/2016
Barcelona;1;6;0;2015/2016
Celta;1;1;0;2015/2016
Vallecano;1;1;1;2015/2016
Ath Bilbao;1;3;1;2015/2016
Las Palmas;1;1;2;2015/2016
Levante;1;1;0;2015/2016
Sevilla;1;4;2;2015/2016
Granada;1;1;1;2015/2016
Getafe;1;1;1;2015/2016
Betis;1;0;1;2015/2016
Granada;1;2;2;2015/2016
La Coruna;1;2;1;2015/2016
Sociedad;1;0;1;2015/2016
Sp Gijon;1;2;1;2015/2016
Espanol;1;2;1;2015/2016
Real Madrid;1;4;0;2015/2016
Valencia;1;0;2;2015/2016
Villarreal;1;2;2;2015/2016
Vallecano;1;2;0;2015/2016
Ath Madrid;1;5;1;2015/2016
Barcelona;1;1;2;2015/2016
Celta;1;1;1;2015/2016
Las Palmas;1;2;1;2015/2016
Ath Bilbao;1;1;1;2015/2016
Eibar;1;1;2;2015/2016
Malaga;1;1;1;2015/2016
Sevilla;1;1;2;2015/2016
Levante;1;0;0;2015/2016
Granada;1;0;0;2015/2016
Betis;1;1;0;2015/2016
Espanol;1;1;3;2015/2016
Real Madrid;1;4;0;2015/2016
Sociedad;1;1;0;2015/2016
Ath Bilbao;1;1;0;2015/2016
Sp Gijon;1;0;1;2015/2016
Valencia;1;2;1;2015/2016
Villarreal;1;2;0;2015/2016
La Coruna;1;1;3;2015/2016
Levante;1;2;1;2015/2016
Celta;1;1;1;2015/2016
Eibar;1;2;1;2015/2016
Getafe;1;1;5;2015/2016
Las Palmas;1;1;1;2015/2016
Ath Madrid;1;3;0;2015/2016
Barcelona;1;1;2;2015/2016
Malaga;1;0;1;2015/2016
Sevilla;1;1;1;2015/2016
Vallecano;1;2;1;2015/2016
Betis;1;1;0;2015/2016
Espanol;1;1;1;2015/2016
Ath Bilbao;1;0;1;2015/2016
La Coruna;1;0;8;2015/2016
Malaga;1;1;1;2015/2016
Real Madrid;1;3;0;2015/2016
Sp Gijon;1;2;1;2015/2016
Valencia;1;4;0;2015/2016
Granada;1;5;1;2015/2016
Sociedad;1;1;2;2015/2016
Las Palmas;1;4;0;2015/2016
Ath Madrid;1;1;0;2015/2016
Barcelona;1;6;0;2015/2016
Eibar;1;1;1;2015/2016
Vallecano;1;2;3;2015/2016
Getafe;1;2;2;2015/2016
Levante;1;2;2;2015/2016
Sevilla;1;2;0;2015/2016
Villarreal;1;0;0;2015/2016
Celta;1;2;1;2015/2016
Sp Gijon;1;2;0;2015/2016
Ath Madrid;1;1;0;2015/2016
Betis;1;0;2;2015/2016
Granada;1;3;2;2015/2016
Sociedad;1;0;1;2015/2016
Ath Bilbao;1;2;1;2015/2016
Espanol;1;1;0;2015/2016
La Coruna;1;0;2;2015/2016
Valencia;1;0;2;2015/2016
Malaga;1;3;1;2015/2016
Barcelona;1;5;0;2015/2016
Celta;1;1;0;2015/2016
Eibar;1;1;1;2015/2016
Getafe;1;1;1;2015/2016
Las Palmas;1;0;0;2015/2016
Levante;1;2;1;2015/2016
Real Madrid;1;3;2;2015/2016
Sevilla;1;1;4;2015/2016
Sociedad;1;2;1;2015/2016
Villarreal;1;0;2;2015/2016
Valencia;1;0;1;2015/2016
Ath Bilbao;1;3;1;2015/2016
Ath Madrid;1;2;0;2015/2016
Granada;1;0;3;2015/2016
La Coruna;1;0;2;2015/2016
Betis;1;2;1;2015/2016
Espanol;1;4;2;2015/2016
Malaga;1;4;1;2015/2016
Sp Gijon;1;2;0;2015/2016
Vallecano;1;3;1;2015/2016
Sevilla;0;0;0;2015/2016
Las Palmas;0;0;1;2015/2016
Getafe;0;0;1;2015/2016
Sociedad;0;0;0;2015/2016
Valencia;0;0;0;2015/2016
Barcelona;0;1;0;2015/2016
Villarreal;0;1;1;2015/2016
Celta;0;2;1;2015/2016
Real Madrid;0;0;0;2015/2016
Eibar;0;3;1;2015/2016
Espanol;0;1;3;2015/2016
Malaga;0;0;1;2015/2016
Vallecano;0;0;3;2015/2016
Betis;0;0;5;2015/2016
Sp Gijon;0;0;0;2015/2016
Ath Bilbao;0;0;2;2015/2016
Granada;0;2;1;2015/2016
Levante;0;0;0;2015/2016
Ath Madrid;0;3;0;2015/2016
La Coruna;0;1;1;2015/2016
Sevilla;0;1;1;2015/2016
Barcelona;0;2;1;2015/2016
Sociedad;0;0;1;2015/2016
Real Madrid;0;6;0;2015/2016
Valencia;0;1;0;2015/2016
Getafe;0;1;3;2015/2016
Las Palmas;0;3;3;2015/2016
Villarreal;0;3;1;2015/2016
Eibar;0;0;0;2015/2016
La Coruna;0;3;1;2015/2016
Malaga;0;0;1;2015/2016
Ath Madrid;0;2;0;2015/2016
Granada;0;0;1;2015/2016
Espanol;0;3;2;2015/2016
Betis;0;0;0;2015/2016
Levante;0;1;4;2015/2016
Sp Gijon;0;3;2;2015/2016
Vallecano;0;1;0;2015/2016
Celta;0;2;1;2015/2016
Ath Bilbao;0;1;3;2015/2016
Getafe;0;0;2;2015/2016
Valencia;0;0;1;2015/2016
Sociedad;0;3;0;2015/2016
Real Madrid;0;2;1;2015/2016
Barcelona;0;1;4;2015/2016
Sevilla;0;0;2;2015/2016
Eibar;0;2;2;2015/2016
Villarreal;0;1;0;2015/2016
Sp Gijon;0;1;2;2015/2016
La Coruna;0;2;1;2015/2016
Granada;0;0;1;2015/2016
Las Palmas;0;1;2;2015/2016
Celta;0;1;1;2015/2016
Malaga;0;0;0;2015/2016
Vallecano;0;2;3;2015/2016
Ath Madrid;0;0;1;2015/2016
Levante;0;0;3;2015/2016
Espanol;0;0;3;2015/2016
Ath Bilbao;0;0;0;2015/2016
Betis;0;2;1;2015/2016
Getafe;0;0;0;2015/2016
Sp Gijon;0;2;1;2015/2016
La Coruna;0;1;1;2015/2016
Eibar;0;2;0;2015/2016
Sociedad;0;1;3;2015/2016
Barcelona;0;1;2;2015/2016
Valencia;0;1;3;2015/2016
Real Madrid;0;1;1;2015/2016
Villarreal;0;0;1;2015/2016
Betis;0;2;0;2015/2016
Vallecano;0;2;5;2015/2016
Espanol;0;3;1;2015/2016
Sevilla;0;1;1;2015/2016
Levante;0;0;3;2015/2016
Malaga;0;0;3;2015/2016
Las Palmas;0;0;4;2015/2016
Ath Bilbao;0;2;2;2015/2016
Ath Madrid;0;2;0;2015/2016
Celta;0;2;1;2015/2016
Granada;0;3;3;2015/2016
Espanol;0;0;3;2015/2016
Real Madrid;0;3;1;2015/2016
Betis;0;1;1;2015/2016
La Coruna;0;0;2;2015/2016
Getafe;0;0;5;2015/2016
Valencia;0;1;2;2015/2016
Eibar;0;1;3;2015/2016
Villarreal;0;0;0;2015/2016
Sociedad;0;4;0;2015/2016
Sp Gijon;0;0;3;2015/2016
Ath Madrid;0;1;1;2015/2016
Barcelona;0;2;0;2015/2016
Las Palmas;0;1;3;2015/2016
Celta;0;3;2;2015/2016
Levante;0;0;3;2015/2016
Sevilla;0;1;2;2015/2016
Ath Bilbao;0;3;1;2015/2016
Vallecano;0;0;1;2015/2016
Granada;0;1;1;2015/2016
Malaga;0;0;1;2015/2016
Sociedad;0;0;2;2015/2016
Valencia;0;5;1;2015/2016
Getafe;0;1;3;2015/2016
La Coruna;0;1;1;2015/2016
Betis;0;1;0;2015/2016
Granada;0;1;2;2015/2016
Espanol;0;1;2;2015/2016
Sp Gijon;0;0;1;2015/2016
Villarreal;0;0;3;2015/2016
Real Madrid;0;2;3;2015/2016
Malaga;0;0;2;2015/2016
Celta;0;0;2;2015/2016
Barcelona;0;4;0;2015/2016
Sevilla;0;0;2;2015/2016
Las Palmas;0;1;1;2015/2016
Ath Madrid;0;1;0;2015/2016
Ath Bilbao;0;0;2;2015/2016
Levante;0;3;0;2015/2016
Eibar;0;1;1;2015/2016
Vallecano;0;1;1;2015/2016
Betis;0;1;0;2015/2016
Espanol;0;0;1;2015/2016
Sociedad;0;0;4;2015/2016
Sp Gijon;0;1;2;2015/2016
La Coruna;0;2;0;2015/2016
Granada;0;2;2;2015/2016
Real Madrid;0;2;0;2015/2016
Villarreal;0;0;2;2015/2016
Valencia;0;0;1;2015/2016
Ath Bilbao;0;3;0;2015/2016
Celta;0;1;1;2015/2016
Ath Madrid;0;2;0;2015/2016
Sevilla;0;1;1;2015/2016
Getafe;0;1;4;2015/2016
Barcelona;0;1;1;2015/2016
Malaga;0;0;0;2015/2016
Eibar;0;1;2;2015/2016
Las Palmas;0;1;3;2015/2016
Vallecano;0;1;2;2015/2016
Levante;0;1;1;2015/2016
Sociedad;0;1;1;2015/2016
La Coruna;0;2;2;2015/2016
Espanol;0;0;1;2015/2016
Betis;0;0;1;2015/2016
Granada;0;2;1;2015/2016
Sp Gijon;0;0;2;2015/2016
Ath Bilbao;0;1;2;2015/2016
Valencia;0;1;1;2015/2016
Malaga;0;2;1;2015/2016
Real Madrid;0;0;1;2015/2016
Sevilla;0;0;0;2015/2016
Las Palmas;0;0;1;2015/2016
Eibar;0;0;2;2015/2016
Getafe;0;2;2;2015/2016
Levante;0;0;2;2015/2016
Celta;0;2;0;2015/2016
Ath Madrid;0;0;1;2015/2016
Vallecano;0;2;10;2015/2016
Villarreal;0;2;0;2015/2016
Betis;0;0;4;2015/2016
Ath Bilbao;0;1;0;2015/2016
Sp Gijon;0;0;2;2015/2016
La Coruna;0;0;0;2015/2016
Granada;0;1;4;2015/2016
Malaga;0;1;0;2015/2016
Sociedad;0;1;3;2015/2016
Espanol;0;0;2;2015/2016
Ath Madrid;0;2;0;2015/2016
Valencia;0;0;1;2015/2016
Levante;0;0;1;2015/2016
Barcelona;0;0;0;2015/2016
Celta;0;0;2;2015/2016
Las Palmas;0;2;2;2015/2016
Eibar;0;4;0;2015/2016
Sevilla;0;1;2;2015/2016
Villarreal;0;2;1;2015/2016
Real Madrid;0;2;2;2015/2016
Sociedad;0;2;2;2015/2016
Getafe;0;2;1;2015/2016
Granada;0;0;4;2015/2016
Betis;0;0;1;2015/2016
Vallecano;0;1;2;2015/2016
La Coruna;0;0;5;2015/2016
Ath Bilbao;0;0;2;2015/2016
Ath Madrid;0;2;0;2015/2016
Espanol;0;1;2;2015/2016
Malaga;0;1;1;2015/2016
Valencia;0;0;2;2015/2016
Sp Gijon;0;0;2;2015/2016
Levante;0;3;4;2015/2016
Malaga;0;1;2;2015/2016
La Coruna;0;1;1;2015/2016
Betis;0;0;0;2015/2016
Ath Bilbao;0;0;6;2015/2016
Espanol;0;1;3;2015/2016
Ath Madrid;0;3;0;2015/2016
Sp Gijon;0;1;5;2015/2016
Vallecano;0;2;2;2015/2016
Granada;0;1;5;2015/2016
Sociedad;0;1;5;2015/2016
Villarreal;0;2;2;2015/2016
Getafe;0;2;3;2015/2016
Barcelona;0;2;1;2015/2016
Celta;0;0;3;2015/2016
Eibar;0;2;5;2015/2016
Sevilla;0;0;0;2015/2016
Real Madrid;0;1;1;2015/2016
Valencia;0;1;1;2015/2016
Las Palmas;0;2;3;2015/2016
Ath Madrid;0;1;2;2015/2016
Malaga;0;2;1;2015/2016
Ath Bilbao;0;1;0;2015/2016
Betis;0;1;2;2015/2016
Granada;0;0;1;2015/2016
Celta;0;1;2;2015/2016
Espanol;0;0;6;2015/2016
Levante;0;1;3;2015/2016
Sp Gijon;0;1;0;2015/2016
Vallecano;0;2;2;2015/2016
Getafe;0;0;3;2015/2016
Villarreal;0;0;0;2015/2016
Eibar;0;1;3;2015/2016
La Coruna;0;1;1;2015/2016
Las Palmas;0;0;2;2015/2016
Valencia;0;0;1;2015/2016
Sevilla;0;1;1;2015/2016
Real Madrid;0;2;1;2015/2016
Barcelona;0;2;0;2015/2016
Sociedad;0;5;0;2015/2016
Vallecano;0;2;2;2015/2016
Betis;0;2;2;2015/2016
Ath Bilbao;0;2;4;2015/2016
Espanol;0;1;2;2015/2016
Malaga;0;0;1;2015/2016
Celta;0;1;6;2015/2016
Levante;0;0;2;2015/2016
Ath Madrid;0;1;0;2015/2016
Las Palmas;0;0;2;2015/2016
Granada;0;0;3;2015/2016
Barcelona;0;3;1;2015/2016
Getafe;0;0;3;2015/2016
Sp Gijon;0;1;1;2015/2016
Eibar;0;2;3;2015/2016
La Coruna;0;0;1;2015/2016
Barcelona;0;2;1;2015/2016
Sociedad;0;1;0;2015/2016
Villarreal;0;0;0;2015/2016
Valencia;0;2;1;2015/2016
Real Madrid;0;1;1;2015/2016
Sevilla;0;2;2;2015/2016
Las Palmas;0;1;0;2015/2016
Vallecano;0;2;2;2015/2016
Celta;0;1;0;2015/2016
Ath Madrid;0;1;0;2015/2016
Malaga;0;1;1;2015/2016
Espanol;0;4;2;2015/2016
Sevilla;0;1;2;2015/2016
Granada;0;1;0;2015/2016
Ath Bilbao;0;3;0;2015/2016
Levante;0;0;3;2015/2016
Sociedad;0;0;3;2015/2016
Getafe;0;0;4;2015/2016
La Coruna;0;1;4;2015/2016
Villarreal;0;0;0;2015/2016
Real Madrid;0;3;1;2015/2016
Valencia;0;2;1;2015/2016
Eibar;0;0;1;2015/2016
Betis;0;3;0;2015/2016
Sp Gijon;0;0;2;2015/2016
Barcelona;0;5;1;2015/2016
Sevilla;0;1;1;2015/2016
Malaga;0;3;3;2015/2016
Celta;0;1;7;2015/2016
Las Palmas;0;1;0;2015/2016
Granada;0;0;2;2015/2016
Barcelona;0;4;0;2015/2016
Levante;0;1;1;2015/2016
Ath Bilbao;0;2;0;2015/2016
Ath Madrid;0;3;1;2015/2016
Vallecano;0;1;2;2015/2016
Sp Gijon;0;0;1;2015/2016
La Coruna;0;0;3;2015/2016
Getafe;0;0;6;2015/2016
Sociedad;0;0;1;2015/2016
Eibar;0;1;1;2015/2016
Betis;0;1;3;2015/2016
Real Madrid;0;2;1;2015/2016
Valencia;0;0;1;2015/2016
Villarreal;0;2;4;2015/2016
Espanol;0;1;1;2015/2016
Eibar;0;1;1;2015/2016
Malaga;0;1;0;2015/2016
Vallecano;0;2;2;2015/2016
Levante;0;1;2;2015/2016
Las Palmas;0;1;0;2015/2016
Ath Madrid;0;1;2;2015/2016
Ath Bilbao;0;1;2;2015/2016
Sevilla;0;0;4;2015/2016
Celta;0;2;0;2015/2016
Barcelona;0;2;2;2015/2016
Getafe;0;0;2;2015/2016
Betis;0;1;5;2015/2016
Real Madrid;0;2;1;2015/2016
La Coruna;0;1;1;2015/2016
Valencia;0;1;2;2015/2016
Granada;0;1;1;2015/2016
Villarreal;0;2;1;2015/2016
Espanol;0;1;1;2015/2016
Sociedad;0;2;1;2015/2016
Sp Gijon;0;0;0;2015/2016
Malaga;0;0;0;2015/2016
Levante;0;0;1;2015/2016
Ath Madrid;0;3;1;2015/2016
Eibar;0;0;4;2015/2016
Barcelona;0;0;1;2015/2016
Vallecano;0;0;1;2015/2016
Celta;0;1;0;2015/2016
Sevilla;0;1;2;2015/2016
Getafe;0;0;2;2015/2016
Las Palmas;0;3;1;2015/2016
Espanol;0;1;2;2015/2016
Betis;0;1;1;2015/2016
Sociedad;0;1;2;2015/2016
Real Madrid;0;5;1;2015/2016
Sp Gijon;0;1;1;2015/2016
Granada;0;0;3;2015/2016
Valencia;0;2;1;2015/2016
Ath Bilbao;0;1;0;2015/2016
La Coruna;0;1;1;2015/2016
Villarreal;0;1;2;2015/2016
Las Palmas;0;0;1;2015/2016
Celta;0;1;1;2015/2016
Ath Madrid;0;1;0;2015/2016
Barcelona;0;8;0;2015/2016
Vallecano;0;1;1;2015/2016
Villarreal;0;0;3;2015/2016
Sevilla;0;1;2;2015/2016
Eibar;0;0;4;2015/2016
Levante;0;1;5;2015/2016
Getafe;0;2;1;2015/2016
Espanol;0;0;4;2015/2016
Malaga;0;0;1;2015/2016
Sp Gijon;0;0;6;2015/2016
La Coruna;0;1;1;2015/2016
Real Madrid;0;3;2;2015/2016
Valencia;0;2;2;2015/2016
Ath Bilbao;0;2;2;2015/2016
Betis;0;0;2;2015/2016
Sociedad;0;0;0;2015/2016
Granada;0;1;2;2015/2016
Eibar;0;0;2;2015/2016
Vallecano;0;0;1;2015/2016
Barcelona;0;2;0;2015/2016
Las Palmas;0;2;3;2015/2016
Real Madrid;0;1;0;2015/2016
Celta;0;1;2;2015/2016
Sevilla;0;0;1;2015/2016
Getafe;0;2;0;2015/2016
Villarreal;0;2;0;2015/2016
Levante;0;1;3;2015/2016
Espanol;0;0;5;2015/2016
Malaga;0;0;1;2015/2016
Betis;0;1;1;2015/2016
Sp Gijon;0;1;1;2015/2016
Ath Bilbao;0;0;0;2015/2016
Ath Madrid;0;1;2;2015/2016
Valencia;0;2;3;2015/2016
Granada;0;4;1;2015/2016
Vallecano;0;1;2;2015/2016
La Coruna;0;2;0;2015/2016
Sociedad;0;1;0;2015/2016
Sevilla;0;1;3;2015/2016
Celta;0;0;2;2015/2016
Barcelona;0;3;0;2015/2016
Real Madrid;0;2;0;2015/2016
Getafe;0;1;2;2015/2016
Eibar;0;2;4;2015/2016
Las Palmas;0;1;4;2015/2016
Villarreal;0;0;2;2015/2016
Levante;0;1;3;2015/2016
Almeria;1;1;1;2014/2015
Granada;1;2;1;2014/2015
Malaga;1;1;0;2014/2015
Sevilla;1;1;1;2014/2015
Barcelona;1;3;0;2014/2015
Celta;1;3;1;2014/2015
Eibar;1;1;0;2014/2015
Levante;1;0;2;2014/2015
Real Madrid;1;2;0;2014/2015
Vallecano;1;0;0;2014/2015
Getafe;1;1;0;2014/2015
Valencia;1;3;0;2014/2015
Ath Bilbao;1;3;0;2014/2015
Ath Madrid;1;2;1;2014/2015
Cordoba;1;1;1;2014/2015
Espanol;1;1;2;2014/2015
Elche;1;1;1;2014/2015
La Coruna;1;2;2;2014/2015
Sociedad;1;4;2;2014/2015
Villarreal;1;0;1;2014/2015
Almeria;1;1;1;2014/2015
Barcelona;1;2;0;2014/2015
Celta;1;2;2;2014/2015
Malaga;1;0;0;2014/2015
Real Madrid;1;1;2;2014/2015
Granada;1;0;0;2014/2015
Sevilla;1;2;0;2014/2015
Valencia;1;3;1;2014/2015
Vallecano;1;2;3;2014/2015
Eibar;1;0;1;2014/2015
Elche;1;0;2;2014/2015
Ath Bilbao;1;0;1;2014/2015
Ath Madrid;1;2;2;2014/2015
Espanol;1;2;2;2014/2015
La Coruna;1;2;8;2014/2015
Cordoba;1;1;3;2014/2015
Levante;1;0;5;2014/2015
Sociedad;1;1;2;2014/2015
Villarreal;1;4;2;2014/2015
Getafe;1;0;3;2014/2015
Celta;1;2;1;2014/2015
Real Madrid;1;5;1;2014/2015
Almeria;1;0;1;2014/2015
Eibar;1;1;1;2014/2015
Granada;1;0;1;2014/2015
Malaga;1;0;0;2014/2015
Sevilla;1;1;0;2014/2015
Vallecano;1;2;1;2014/2015
Espanol;1;2;0;2014/2015
Valencia;1;3;0;2014/2015
Elche;1;0;1;2014/2015
Ath Bilbao;1;0;0;2014/2015
Ath Madrid;1;4;0;2014/2015
Barcelona;1;6;0;2014/2015
Levante;1;0;2;2014/2015
Villarreal;1;0;2;2014/2015
Cordoba;1;0;0;2014/2015
Getafe;1;1;0;2014/2015
La Coruna;1;0;1;2014/2015
Sociedad;1;1;1;2014/2015
Getafe;1;1;1;2014/2015
Almeria;1;2;2;2014/2015
Eibar;1;3;3;2014/2015
Malaga;1;2;1;2014/2015
Valencia;1;3;1;2014/2015
Vallecano;1;0;2;2014/2015
Celta;1;1;3;2014/2015
Espanol;1;2;0;2014/2015
Real Madrid;1;5;0;2014/2015
Sevilla;1;4;1;2014/2015
Granada;1;0;1;2014/2015
Ath Bilbao;1;1;1;2014/2015
Barcelona;1;3;0;2014/2015
Cordoba;1;1;2;2014/2015
Levante;1;0;5;2014/2015
Ath Madrid;1;2;0;2014/2015
Elche;1;0;2;2014/2015
La Coruna;1;3;0;2014/2015
Villarreal;1;2;0;2014/2015
Sociedad;1;1;2;2014/2015
Celta;1;3;0;2014/2015
Almeria;1;0;1;2014/2015
Cordoba;1;1;1;2014/2015
Eibar;1;1;1;2014/2015
Real Madrid;1;3;1;2014/2015
Valencia;1;3;1;2014/2015
Espanol;1;0;0;2014/2015
Getafe;1;0;1;2014/2015
Malaga;1;4;0;2014/2015
Sevilla;1;2;1;2014/2015
La Coruna;1;1;2;2014/2015
Ath Madrid;1;4;2;2014/2015
Barcelona;1;0;1;2014/2015
Granada;1;0;4;2014/2015
Sociedad;1;0;1;2014/2015
Ath Bilbao;1;1;0;2014/2015
Elche;1;2;1;2014/2015
Levante;1;2;1;2014/2015
Villarreal;1;1;3;2014/2015
Vallecano;1;2;3;2014/2015
Cordoba;1;0;0;2014/2015
Almeria;1;1;2;2014/2015
Celta;1;0;0;2014/2015
Getafe;1;0;0;2014/2015
Malaga;1;2;1;2014/2015
Real Madrid;1;5;1;2014/2015
Espanol;1;1;1;2014/2015
Sevilla;1;1;1;2014/2015
Sociedad;1;2;1;2014/2015
Valencia;1;0;0;2014/2015
Ath Bilbao;1;3;1;2014/2015
Ath Madrid;1;3;1;2014/2015
Barcelona;1;5;1;2014/2015
Eibar;1;0;4;2014/2015
La Coruna;1;0;0;2014/2015
Elche;1;2;2;2014/2015
Levante;1;2;1;2014/2015
Vallecano;1;1;0;2014/2015
Villarreal;1;2;1;2014/2015
Granada;1;0;0;2014/2015
Sociedad;1;3;0;2014/2015
Celta;1;0;1;2014/2015
Espanol;1;2;1;2014/2015
Getafe;1;1;2;2014/2015
Malaga;1;1;2;2014/2015
Ath Madrid;1;2;0;2014/2015
Cordoba;1;0;2;2014/2015
Sevilla;1;5;1;2014/2015
Valencia;1;0;1;2014/2015
Almeria;1;0;1;2014/2015
Ath Bilbao;1;0;1;2014/2015
Elche;1;0;2;2014/2015
La Coruna;1;0;1;2014/2015
Real Madrid;1;3;0;2014/2015
Barcelona;1;5;1;2014/2015
Granada;1;1;1;2014/2015
Vallecano;1;0;1;2014/2015
Villarreal;1;4;0;2014/2015
Eibar;1;5;2;2014/2015
Levante;1;1;1;2014/2015
Almeria;1;1;4;2014/2015
Cordoba;1;0;0;2014/2015
Getafe;1;0;0;2014/2015
Malaga;1;1;0;2014/2015
Valencia;1;3;0;2014/2015
Ath Madrid;1;0;1;2014/2015
Espanol;1;2;1;2014/2015
Sevilla;1;0;0;2014/2015
Sociedad;1;1;1;2014/2015
La Coruna;1;1;0;2014/2015
Celta;1;0;1;2014/2015
Barcelona;1;5;0;2014/2015
Eibar;1;0;1;2014/2015
Levante;1;1;1;2014/2015
Vallecano;1;1;3;2014/2015
Ath Bilbao;1;1;4;2014/2015
Elche;1;1;2;2014/2015
Granada;1;1;1;2014/2015
Villarreal;1;3;0;2014/2015
Ath Madrid;1;3;1;2014/2015
Elche;1;2;2;2014/2015
La Coruna;1;1;0;2014/2015
Malaga;1;1;2;2014/2015
Sevilla;1;1;0;2014/2015
Espanol;1;1;2;2014/2015
Getafe;1;1;2;2014/2015
Sociedad;1;1;0;2014/2015
Valencia;1;2;1;2014/2015
Cordoba;1;2;0;2014/2015
Levante;1;0;0;2014/2015
Celta;1;1;1;2014/2015
Eibar;1;2;1;2014/2015
Malaga;1;1;1;2014/2015
Real Madrid;1;3;0;2014/2015
Almeria;1;0;2;2014/2015
Ath Bilbao;1;1;2;2014/2015
Barcelona;1;3;1;2014/2015
Granada;1;1;1;2014/2015
Vallecano;1;0;1;2014/2015
Cordoba;1;1;1;2014/2015
Espanol;1;1;0;2014/2015
Sociedad;1;0;1;2014/2015
Valencia;1;3;2;2014/2015
Villarreal;1;2;0;2014/2015
Ath Madrid;1;2;0;2014/2015
Elche;1;1;0;2014/2015
Getafe;1;0;3;2014/2015
La Coruna;1;0;4;2014/2015
Sevilla;1;2;0;2014/2015
Ath Madrid;1;3;1;2014/2015
Cordoba;1;1;2;2014/2015
Elche;1;0;6;2014/2015
Sociedad;1;1;0;2014/2015
Villarreal;1;1;0;2014/2015
Ath Bilbao;1;1;1;2014/2015
Espanol;1;3;0;2014/2015
La Coruna;1;2;2;2014/2015
Valencia;1;3;1;2014/2015
Getafe;1;2;1;2014/2015
Vallecano;1;1;2;2014/2015
Celta;1;1;0;2014/2015
